月份,日,商品名称,类别,单价,销量,销售额
2024-02,4,文具5号,文具,23.87,2,47.26
2024-02,4,个护3号,个护,53.72,4,232.22
2024-02,4,个护5号,个护,6.78,5,35.45
2024-02,4,速食13号,速食,7.67,5,37.82
2024-02,4,文具12号,文具,25.87,4,107.97
2024-02,4,调味品13号,调味品,20.73,1,20.55
2024-02,4,文具2号,文具,17.27,5,81.2
2024-02,4,饮料1号,饮料,43.95,5,217.58
2024-02,4,速食10号,速食,13.45,3,39.37
2024-02,4,饮料11号,饮料,11.55,5,55.54
2024-02,4,乳制品2号,乳制品,4.08,2,7.52
2024-02,4,零食9号,零食,52.4,5,253.19
2024-02,4,零食9号,零食,52.4,1,54.83
2024-02,4,日用品13号,日用品,40.49,5,191.67
2024-02,4,饮料12号,饮料,55.1,3,158.4
2024-02,4,调味品11号,调味品,58.26,3,188.8
2024-02,4,调味品12号,调味品,15.25,5,83.24
2024-02,4,日用品2号,日用品,53.81,3,172.52
2024-02,4,文具10号,文具,46.56,3,136.91
2024-02,4,零食6号,零食,39.89,5,190.4
2024-02,4,速食6号,速食,49.22,5,263.26
2024-02,4,速食1号,速食,12.93,3,39.24
2024-02,4,速食3号,速食,19.7,4,73.27
2024-02,4,日用品3号,日用品,20.72,4,76.46
2024-02,4,速食1号,速食,12.93,1,12.91
2024-02,4,零食2号,零食,58.96,4,249.81
2024-02,4,个护11号,个护,59.31,5,295.41
2024-02,4,饮料13号,饮料,25.77,4,99.55
2024-02,4,饮料12号,饮料,55.1,4,233.11
2024-02,4,饮料13号,饮料,25.77,3,74.98
2024-02,5,零食8号,零食,44.44,2,91.36
2024-02,5,文具10号,文具,46.56,3,130.8
2024-02,5,饮料5号,饮料,14.32,4,55.49
2024-02,5,个护2号,个护,15.48,5,83.33
2024-02,5,个护7号,个护,47.78,5,216.76
2024-02,5,个护11号,个护,59.31,2,121.81
2024-02,5,文具8号,文具,11.93,5,56.85
2024-02,5,调味品3号,调味品,25.48,2,51.8
2024-02,5,文具5号,文具,23.87,3,70.63
2024-02,5,乳制品6号,乳制品,55.96,1,61.15
2024-02,5,零食5号,零食,41.0,5,200.55
2024-02,5,个护6号,个护,34.11,4,142.22
2024-02,5,零食3号,零食,5.65,1,5.92
2024-02,5,零食12号,零食,23.18,4,88.68
2024-02,5,零食5号,零食,41.0,5,221.16
2024-02,5,调味品10号,调味品,36.69,4,154.58
2024-02,5,速食3号,速食,19.7,1,20.5
2024-02,5,乳制品1号,乳制品,46.73,5,249.32
2024-02,5,日用品13号,日用品,40.49,1,41.75
2024-02,5,日用品10号,日用品,38.95,5,193.51
2024-02,5,文具6号,文具,27.32,5,128.39
2024-02,5,文具1号,文具,3.76,4,15.97
2024-02,5,个护12号,个护,21.5,3,63.05
2024-02,5,个护11号,个护,59.31,5,289.99
2024-02,5,饮料10号,饮料,38.96,2,84.62
2024-02,5,饮料7号,饮料,42.03,3,116.09
2024-02,5,文具11号,文具,31.57,2,65.48
2024-02,5,日用品8号,日用品,19.55,4,74.94
2024-02,5,个护5号,个护,6.78,3,20.91
2024-02,5,乳制品11号,乳制品,3.86,5,18.72
2024-02,5,日用品5号,日用品,40.97,3,122.0
2024-02,5,乳制品7号,乳制品,8.41,2,17.58
2024-02,5,零食2号,零食,58.96,1,53.32
2024-02,5,速食5号,速食,14.69,2,31.79
2024-02,5,乳制品1号,乳制品,46.73,3,132.19
2024-02,5,日用品7号,日用品,10.83,5,59.05
2024-02,5,文具11号,文具,31.57,2,61.48
2024-02,5,乳制品4号,乳制品,41.35,5,187.3
2024-02,5,饮料3号,饮料,18.07,4,65.78
2024-02,5,调味品4号,调味品,8.44,1,8.66
2024-02,5,个护11号,个护,59.31,5,298.85
2024-02,5,乳制品12号,乳制品,28.99,3,88.51
2024-02,5,速食9号,速食,19.8,5,90.24
2024-02,5,饮料3号,饮料,18.07,3,50.13
2024-02,5,日用品11号,日用品,31.24,5,158.25
2024-02,5,饮料6号,饮料,37.01,3,104.45
2024-02,5,文具9号,文具,31.66,5,158.13
2024-02,5,调味品1号,调味品,20.54,1,22.39
2024-02,5,调味品12号,调味品,15.25,4,66.87
2024-02,5,调味品8号,调味品,27.89,5,150.39
2024-02,5,乳制品13号,乳制品,56.67,3,156.12
2024-02,5,乳制品2号,乳制品,4.08,2,7.37
2024-02,5,乳制品13号,乳制品,56.67,1,56.57
2024-02,5,速食6号,速食,49.22,3,151.22
2024-02,5,文具6号,文具,27.32,2,53.12
2024-02,5,速食3号,速食,19.7,2,37.91
2024-02,5,文具8号,文具,11.93,2,22.2
2024-02,5,日用品13号,日用品,40.49,2,75.78
2024-02,5,饮料6号,饮料,37.01,5,170.05
2024-02,6,文具11号,文具,31.57,1,31.0
2024-02,6,零食2号,零食,58.96,5,305.01
2024-02,6,调味品2号,调味品,32.7,4,132.09
2024-02,6,零食11号,零食,54.32,3,177.91
2024-02,6,日用品9号,日用品,16.49,1,17.62
2024-02,6,速食13号,速食,7.67,2,15.76
2024-02,6,调味品6号,调味品,25.33,5,120.88
2024-02,6,乳制品13号,乳制品,56.67,3,159.39
2024-02,6,个护8号,个护,20.58,4,86.61
2024-02,6,个护13号,个护,58.62,1,57.45
2024-02,6,饮料5号,饮料,14.32,4,52.19
2024-02,6,调味品4号,调味品,8.44,5,46.22
2024-02,6,调味品3号,调味品,25.48,2,49.05
2024-02,6,调味品13号,调味品,20.73,5,101.93
2024-02,6,速食2号,速食,16.52,2,33.29
2024-02,6,饮料1号,饮料,43.95,1,46.58
2024-02,6,调味品3号,调味品,25.48,5,135.4
2024-02,6,文具12号,文具,25.87,3,75.17
2024-02,6,调味品7号,调味品,57.03,5,287.15
2024-02,6,日用品13号,日用品,40.49,1,38.19
2024-02,6,饮料9号,饮料,32.66,1,30.14
2024-02,6,调味品6号,调味品,25.33,4,102.3
2024-02,6,乳制品11号,乳制品,3.86,3,12.0
2024-02,6,饮料3号,饮料,18.07,4,77.58
2024-02,6,文具10号,文具,46.56,4,197.92
2024-02,6,个护7号,个护,47.78,5,247.15
2024-02,6,零食5号,零食,41.0,4,154.22
2024-02,6,速食12号,速食,53.72,2,102.04
2024-02,6,日用品11号,日用品,31.24,3,92.01
2024-02,6,速食9号,速食,19.8,3,58.9
2024-02,6,文具5号,文具,23.87,5,109.85
2024-02,6,文具7号,文具,11.7,5,53.64
2024-02,6,饮料3号,饮料,18.07,5,94.76
2024-02,6,饮料3号,饮料,18.07,4,70.18
2024-02,6,日用品2号,日用品,53.81,2,118.2
2024-02,6,零食6号,零食,39.89,3,124.42
2024-02,7,饮料5号,饮料,14.32,5,68.86
2024-02,7,速食6号,速食,49.22,5,245.59
2024-02,7,饮料8号,饮料,15.34,2,33.74
2024-02,7,调味品12号,调味品,15.25,3,44.5
2024-02,7,饮料6号,饮料,37.01,3,118.28
2024-02,7,零食12号,零食,23.18,2,46.69
2024-02,7,日用品3号,日用品,20.72,2,43.39
2024-02,7,日用品13号,日用品,40.49,5,197.45
2024-02,7,零食6号,零食,39.89,5,194.14
2024-02,7,饮料6号,饮料,37.01,3,107.96
2024-02,7,饮料12号,饮料,55.1,3,161.74
2024-02,7,乳制品9号,乳制品,52.36,2,106.87
2024-02,7,文具2号,文具,17.27,5,86.8
2024-02,7,零食11号,零食,54.32,1,54.56
2024-02,7,饮料3号,饮料,18.07,1,17.39
2024-02,7,速食9号,速食,19.8,3,61.0
2024-02,7,日用品4号,日用品,21.1,3,66.88
2024-02,7,调味品1号,调味品,20.54,1,21.34
2024-02,7,饮料12号,饮料,55.1,4,205.79
2024-02,7,调味品12号,调味品,15.25,1,15.39
2024-02,7,零食8号,零食,44.44,5,227.73
2024-02,7,乳制品12号,乳制品,28.99,4,123.82
2024-02,7,零食9号,零食,52.4,1,47.33
2024-02,7,个护6号,个护,34.11,5,164.05
2024-02,7,个护10号,个护,27.95,1,29.1
2024-02,7,个护6号,个护,34.11,2,63.04
2024-02,7,饮料6号,饮料,37.01,5,183.32
2024-02,7,日用品3号,日用品,20.72,1,20.85
2024-02,7,饮料13号,饮料,25.77,4,107.46
2024-02,7,速食12号,速食,53.72,4,206.5
2024-02,8,乳制品13号,乳制品,56.67,3,181.87
2024-02,8,零食6号,零食,39.89,3,119.56
2024-02,8,速食5号,速食,14.69,5,75.29
2024-02,8,个护11号,个护,59.31,3,180.49
2024-02,8,日用品2号,日用品,53.81,3,149.74
2024-02,8,乳制品10号,乳制品,8.89,2,18.56
2024-02,8,饮料2号,饮料,29.35,5,153.43
2024-02,8,日用品12号,日用品,51.99,1,47.88
2024-02,8,个护3号,个护,53.72,5,291.07
2024-02,8,文具10号,文具,46.56,3,130.02
2024-02,8,日用品2号,日用品,53.81,3,152.76
2024-02,8,文具1号,文具,3.76,2,7.8
2024-02,8,乳制品7号,乳制品,8.41,1,8.08
2024-02,8,零食9号,零食,52.4,1,54.57
2024-02,8,调味品12号,调味品,15.25,2,33.47
2024-02,8,零食3号,零食,5.65,4,21.88
2024-02,8,零食13号,零食,30.71,4,114.19
2024-02,8,个护5号,个护,6.78,2,14.34
2024-02,8,个护3号,个护,53.72,4,209.6
2024-02,8,调味品2号,调味品,32.7,1,35.84
2024-02,8,调味品10号,调味品,36.69,1,39.66
2024-02,8,零食10号,零食,34.71,2,72.96
2024-02,8,文具5号,文具,23.87,2,44.26
2024-02,8,调味品7号,调味品,57.03,5,278.07
2024-02,8,乳制品8号,乳制品,14.25,3,43.98
2024-02,8,乳制品2号,乳制品,4.08,3,11.06
2024-02,8,个护1号,个护,51.19,1,49.3
2024-02,8,零食13号,零食,30.71,3,96.84
2024-02,8,速食9号,速食,19.8,2,36.35
2024-02,8,饮料11号,饮料,11.55,4,50.81
2024-02,8,调味品8号,调味品,27.89,2,52.03
2024-02,9,乳制品9号,乳制品,52.36,1,56.82
2024-02,9,乳制品7号,乳制品,8.41,2,17.79
2024-02,9,零食2号,零食,58.96,1,56.59
2024-02,9,个护4号,个护,33.06,2,65.04
2024-02,9,饮料9号,饮料,32.66,1,30.35
2024-02,9,日用品13号,日用品,40.49,5,189.71
2024-02,9,个护10号,个护,27.95,2,50.7
2024-02,9,速食1号,速食,12.93,3,36.11
2024-02,9,饮料3号,饮料,18.07,1,16.68
2024-02,9,文具11号,文具,31.57,1,31.38
2024-02,9,乳制品7号,乳制品,8.41,5,43.3
2024-02,9,调味品10号,调味品,36.69,5,196.67
2024-02,9,文具5号,文具,23.87,1,26.14
2024-02,9,文具10号,文具,46.56,2,86.95
2024-02,9,调味品10号,调味品,36.69,3,120.82
2024-02,9,个护2号,个护,15.48,1,15.52
2024-02,9,调味品10号,调味品,36.69,2,66.43
2024-02,9,个护7号,个护,47.78,4,188.55
2024-02,9,零食9号,零食,52.4,1,53.42
2024-02,9,速食13号,速食,7.67,3,22.36
2024-02,9,日用品5号,日用品,40.97,2,89.48
2024-02,9,日用品13号,日用品,40.49,3,121.6
2024-02,9,零食11号,零食,54.32,2,119.23
2024-02,9,文具1号,文具,3.76,4,15.75
2024-02,9,乳制品2号,乳制品,4.08,5,18.6
2024-02,9,文具13号,文具,53.37,2,113.28
2024-02,9,调味品9号,调味品,33.95,1,35.98
2024-02,9,调味品4号,调味品,8.44,2,16.07
2024-02,9,文具4号,文具,8.17,2,17.46
2024-02,9,调味品5号,调味品,28.94,5,150.51
2024-02,9,日用品11号,日用品,31.24,5,145.04
2024-02,9,零食10号,零食,34.71,4,149.16
2024-02,9,日用品9号,日用品,16.49,5,89.92
2024-02,9,速食2号,速食,16.52,4,67.93
2024-02,9,调味品8号,调味品,27.89,3,87.9
2024-02,9,文具7号,文具,11.7,2,24.4
2024-02,9,速食2号,速食,16.52,1,16.61
2024-02,10,调味品12号,调味品,15.25,2,27.72
2024-02,10,饮料9号,饮料,32.66,5,171.76
2024-02,10,饮料5号,饮料,14.32,4,59.39
2024-02,10,零食11号,零食,54.32,4,222.7
2024-02,10,速食3号,速食,19.7,3,60.5
2024-02,10,饮料6号,饮料,37.01,1,37.23
2024-02,10,个护9号,个护,7.36,2,14.35
2024-02,10,文具13号,文具,53.37,3,147.77
2024-02,10,饮料13号,饮料,25.77,5,135.56
2024-02,10,速食2号,速食,16.52,2,30.99
2024-02,10,日用品4号,日用品,21.1,1,22.42
2024-02,10,日用品11号,日用品,31.24,1,30.68
2024-02,10,调味品10号,调味品,36.69,3,114.37
2024-02,10,个护2号,个护,15.48,5,73.99
2024-02,10,个护4号,个护,33.06,4,144.1
2024-02,10,日用品13号,日用品,40.49,5,190.04
2024-02,10,调味品6号,调味品,25.33,5,125.83
2024-02,10,乳制品5号,乳制品,27.79,4,110.06
2024-02,10,日用品3号,日用品,20.72,3,65.68
2024-02,10,乳制品5号,乳制品,27.79,4,103.74
2024-02,10,调味品11号,调味品,58.26,4,224.96
2024-02,10,个护8号,个护,20.58,5,107.52
2024-02,10,饮料11号,饮料,11.55,2,23.81
2024-02,10,文具8号,文具,11.93,5,63.3
2024-02,10,饮料6号,饮料,37.01,2,70.7
2024-02,10,零食12号,零食,23.18,5,119.59
2024-02,10,日用品10号,日用品,38.95,3,106.39
2024-02,10,文具12号,文具,25.87,3,78.65
2024-02,10,零食6号,零食,39.89,2,83.94
2024-02,10,速食7号,速食,58.91,4,239.54
2024-02,10,调味品12号,调味品,15.25,2,28.31
2024-02,10,文具4号,文具,8.17,3,24.69
2024-02,10,日用品6号,日用品,45.43,3,149.59
2024-02,10,文具6号,文具,27.32,4,114.74
2024-02,10,饮料6号,饮料,37.01,4,158.89
2024-02,10,乳制品11号,乳制品,3.86,3,11.39
2024-02,10,个护6号,个护,34.11,1,33.68
2024-02,10,文具9号,文具,31.66,4,122.14
2024-02,10,个护11号,个护,59.31,1,63.67
2024-02,10,日用品11号,日用品,31.24,4,135.72
2024-02,10,日用品5号,日用品,40.97,3,127.14
2024-02,10,个护8号,个护,20.58,4,79.1
2024-02,10,调味品10号,调味品,36.69,4,148.05
2024-02,10,速食8号,速食,36.57,1,36.86
2024-02,10,乳制品11号,乳制品,3.86,2,7.04
2024-02,10,饮料11号,饮料,11.55,1,12.61
2024-02,10,个护4号,个护,33.06,3,96.28
2024-02,10,速食2号,速食,16.52,2,33.57
2024-02,10,个护13号,个护,58.62,1,62.05
2024-02,11,个护8号,个护,20.58,5,112.68
2024-02,11,文具10号,文具,46.56,5,222.07
2024-02,11,文具12号,文具,25.87,2,50.54
2024-02,11,调味品6号,调味品,25.33,4,103.83
2024-02,11,饮料4号,饮料,9.61,3,31.37
2024-02,11,饮料1号,饮料,43.95,3,138.09
2024-02,11,零食6号,零食,39.89,1,43.73
2024-02,11,文具11号,文具,31.57,3,94.47
2024-02,11,个护10号,个护,27.95,3,81.37
2024-02,11,日用品4号,日用品,21.1,5,99.66
2024-02,11,零食11号,零食,54.32,1,58.96
2024-02,11,乳制品6号,乳制品,55.96,1,53.55
2024-02,11,文具9号,文具,31.66,5,158.81
2024-02,11,个护11号,个护,59.31,4,240.47
2024-02,11,日用品7号,日用品,10.83,4,44.83
2024-02,11,文具7号,文具,11.7,5,59.11
2024-02,11,乳制品9号,乳制品,52.36,5,268.94
2024-02,11,速食8号,速食,36.57,2,80.11
2024-02,11,乳制品7号,乳制品,8.41,4,34.63
2024-02,11,零食13号,零食,30.71,5,155.72
2024-02,11,个护9号,个护,7.36,3,23.75
2024-02,11,日用品11号,日用品,31.24,4,133.22
2024-02,11,乳制品12号,乳制品,28.99,5,139.04
2024-02,11,调味品12号,调味品,15.25,4,61.98
2024-02,11,日用品1号,日用品,40.93,5,188.51
2024-02,11,日用品12号,日用品,51.99,5,252.75
2024-02,11,速食10号,速食,13.45,4,57.22
2024-02,11,零食4号,零食,27.36,1,25.19
2024-02,11,零食3号,零食,5.65,1,5.97
2024-02,11,零食7号,零食,40.22,5,195.84
2024-02,11,日用品3号,日用品,20.72,1,19.0
2024-02,11,个护12号,个护,21.5,1,22.49
2024-02,11,日用品6号,日用品,45.43,2,86.97
2024-02,11,调味品11号,调味品,58.26,5,292.43
2024-02,11,文具10号,文具,46.56,1,43.42
2024-02,11,零食1号,零食,45.66,4,182.39
2024-02,11,文具6号,文具,27.32,3,76.93
2024-02,11,个护8号,个护,20.58,5,100.11
2024-02,11,饮料2号,饮料,29.35,4,113.25
2024-02,12,个护13号,个护,58.62,3,167.99
2024-02,12,个护7号,个护,47.78,4,196.27
2024-02,12,个护7号,个护,47.78,3,137.83
2024-02,12,速食1号,速食,12.93,4,50.37
2024-02,12,日用品5号,日用品,40.97,3,114.69
2024-02,12,饮料3号,饮料,18.07,1,17.32
2024-02,12,个护10号,个护,27.95,5,150.03
2024-02,12,速食8号,速食,36.57,1,33.53
2024-02,12,乳制品13号,乳制品,56.67,1,59.57
2024-02,12,个护6号,个护,34.11,5,167.17
2024-02,12,零食9号,零食,52.4,5,235.92
2024-02,12,调味品2号,调味品,32.7,5,154.84
2024-02,12,饮料12号,饮料,55.1,1,59.2
2024-02,12,调味品7号,调味品,57.03,2,122.8
2024-02,12,速食8号,速食,36.57,5,166.08
2024-02,12,速食3号,速食,19.7,2,36.0
2024-02,12,零食5号,零食,41.0,3,127.69
2024-02,12,饮料4号,饮料,9.61,4,35.24
2024-02,12,速食1号,速食,12.93,1,12.2
2024-02,12,速食1号,速食,12.93,5,60.44
2024-02,12,文具3号,文具,20.78,2,40.76
2024-02,12,乳制品12号,乳制品,28.99,3,94.9
2024-02,12,零食9号,零食,52.4,5,238.38
2024-02,12,文具3号,文具,20.78,1,21.09
2024-02,12,乳制品11号,乳制品,3.86,3,11.97
2024-02,12,文具1号,文具,3.76,4,13.71
2024-02,12,日用品6号,日用品,45.43,5,211.13
2024-02,12,饮料1号,饮料,43.95,5,214.05
2024-02,12,饮料1号,饮料,43.95,5,238.17
2024-02,12,零食4号,零食,27.36,5,145.34
2024-02,12,个护4号,个护,33.06,1,32.15
2024-02,12,调味品6号,调味品,25.33,2,50.24
2024-02,12,零食8号,零食,44.44,2,90.81
2024-02,12,文具9号,文具,31.66,3,91.39
2024-02,12,日用品3号,日用品,20.72,3,57.92
2024-02,12,个护3号,个护,53.72,2,104.59
2024-02,12,乳制品8号,乳制品,14.25,4,58.87
2024-02,12,日用品7号,日用品,10.83,2,22.1
2024-02,12,个护3号,个护,53.72,4,218.84
2024-02,12,零食8号,零食,44.44,2,81.04
2024-02,12,零食10号,零食,34.71,2,76.04
2024-02,12,饮料11号,饮料,11.55,4,46.44
2024-02,12,文具3号,文具,20.78,2,44.66
2024-02,12,调味品6号,调味品,25.33,4,109.87
2024-02,13,零食3号,零食,5.65,2,11.14
2024-02,13,速食5号,速食,14.69,4,56.63
2024-02,13,调味品8号,调味品,27.89,4,112.86
2024-02,13,日用品7号,日用品,10.83,4,41.31
2024-02,13,个护12号,个护,21.5,1,19.66
2024-02,13,速食6号,速食,49.22,5,243.8
2024-02,13,个护12号,个护,21.5,2,40.25
2024-02,13,文具2号,文具,17.27,1,16.93
2024-02,13,个护7号,个护,47.78,5,259.96
2024-02,13,个护2号,个护,15.48,1,15.49
2024-02,13,乳制品11号,乳制品,3.86,5,17.39
2024-02,13,调味品6号,调味品,25.33,1,27.05
2024-02,13,个护9号,个护,7.36,3,20.84
2024-02,13,乳制品10号,乳制品,8.89,3,28.5
2024-02,13,速食13号,速食,7.67,3,21.95
2024-02,13,个护1号,个护,51.19,1,54.12
2024-02,13,日用品7号,日用品,10.83,5,56.28
2024-02,13,调味品12号,调味品,15.25,5,71.24
2024-02,13,文具9号,文具,31.66,5,168.55
2024-02,13,日用品6号,日用品,45.43,5,207.6
2024-02,13,零食4号,零食,27.36,5,144.4
2024-02,13,乳制品6号,乳制品,55.96,3,180.86
2024-02,13,速食2号,速食,16.52,4,68.62
2024-02,13,日用品12号,日用品,51.99,2,103.28
2024-02,13,零食2号,零食,58.96,4,228.38
2024-02,13,乳制品12号,乳制品,28.99,3,90.95
2024-02,13,调味品6号,调味品,25.33,3,78.03
2024-02,13,调味品11号,调味品,58.26,1,62.92
2024-02,13,日用品8号,日用品,19.55,5,94.75
2024-02,13,个护8号,个护,20.58,5,98.43
2024-02,13,个护5号,个护,6.78,5,34.36
2024-02,13,调味品4号,调味品,8.44,1,8.56
2024-02,13,文具1号,文具,3.76,2,7.75
2024-02,13,乳制品8号,乳制品,14.25,1,14.2
2024-02,13,饮料4号,饮料,9.61,3,29.04
2024-02,13,乳制品7号,乳制品,8.41,2,17.25
2024-02,13,乳制品4号,乳制品,41.35,5,186.92
2024-02,13,个护9号,个护,7.36,3,21.43
2024-02,13,零食10号,零食,34.71,5,165.89
2024-02,14,个护6号,个护,34.11,4,145.78
2024-02,14,饮料5号,饮料,14.32,5,76.68
2024-02,14,零食5号,零食,41.0,1,37.86
2024-02,14,乳制品3号,乳制品,4.23,2,8.23
2024-02,14,零食10号,零食,34.71,2,74.77
2024-02,14,速食6号,速食,49.22,1,53.36
2024-02,14,零食8号,零食,44.44,4,160.89
2024-02,14,调味品5号,调味品,28.94,3,83.36
2024-02,14,文具8号,文具,11.93,4,48.49
2024-02,14,个护6号,个护,34.11,1,33.45
